,userNr,userId,file_name,N,S,V,Nprec,Nrec,Nfsc,Sprec,Srec,Sfsc,Vprec,Vrec,Vfsc,Err%,Noise%
112,1017,61632b451e325518bb017bbd,1630737.046,835,0,3,0.9987951807228915,0.9928143712574851,0.9957957957957958,0.0,0.0,0.0,0.2857142857142857,0.6666666666666666,0.4,0.8,28.28162291169451
113,1017,61632b451e325518bb017bbd,1630737.118,715,0,0,1.0,0.9986013986013986,0.999300209937019,0.0,0.0,0.0,0.0,0.0,0.0,0.1,43.07692307692308
114,1017,61632b451e325518bb017bbd,1630737.218,750,3,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,45.15272244355909
115,1017,61632b451e325518bb017bbd,1630737.256,749,0,4,0.9973262032085561,0.9959946595460614,0.9966599866399466,0.0,0.0,0.0,0.4,0.5,0.4444444444444445,0.7,29.747675962815407
116,1018,61632ba41e3255865f017bbf,1630737.237,871,0,0,1.0,0.9931113662456946,0.9965437788018434,0.0,0.0,0.0,0.0,0.0,0.0,0.7,47.876004592422504
117,1019,61632bd41e32554ace017bc0,1630737.123,588,0,9,0.9914965986394558,0.9914965986394558,0.9914965986394558,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.7,60.13400335008375
118,1019,61632bd41e32554ace017bc0,1630737.131,645,0,12,0.9875776397515528,0.986046511627907,0.9868114817688131,0.0,0.0,0.0,0.3076923076923077,0.3333333333333333,0.32,2.6,39.87823439878234
119,1019,61632bd41e32554ace017bc0,1630737.145,663,0,10,0.9923195084485407,0.9743589743589743,0.9832572298325724,0.0,0.0,0.0,0.22727272727272727,0.5,0.3125,3.3,49.33135215453195
120,1019,61632bd41e32554ace017bc0,1630737.199,671,0,10,0.9908116385911179,0.9642324888226528,0.9773413897280966,0.0,0.0,0.0,0.15384615384615385,0.4,0.2222222222222222,4.4,28.193832599118945
121,1019,61632bd41e32554ace017bc0,1630737.209,610,0,12,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.2,40.67524115755627
122,1019,61632bd41e32554ace017bc0,1630737.224,605,0,14,0.9851239669421488,0.9851239669421488,0.9851239669421488,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,2.9,44.91114701130856
123,1019,61632bd41e32554ace017bc0,1630737.248,607,0,18,0.9719934102141681,0.9719934102141681,0.9719934102141681,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,5.4,57.120000000000005
124,1019,61632bd41e32554ace017bc0,1630737.254,701,0,12,0.994269340974212,0.9900142653352354,0.9921372408863474,0.0,0.0,0.0,0.5333333333333333,0.6666666666666666,0.5925925925925926,1.5,32.398316970546986
125,1019,61632bd41e32554ace017bc0,1630737.272,646,0,10,0.9907120743034056,0.9907120743034056,0.9907120743034056,0.0,0.0,0.0,0.4,0.4,0.4000000000000001,1.8,32.31707317073171
126,1019,61632bd41e32554ace017bc0,1630737.278,702,0,9,0.9971509971509972,0.9971509971509972,0.9971509971509972,0.0,0.0,0.0,0.75,0.6666666666666666,0.7058823529411765,0.7,54.008438818565395
127,1020,616b00841160152288c2816b,1630737.193,607,1,0,1.0,0.9983525535420099,0.9991755976916735,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.2,69.07894736842105
128,1020,616b00841160152288c2816b,1630737.260,654,0,0,1.0,0.9373088685015291,0.9676400947119178,0.0,0.0,0.0,0.0,0.0,0.0,6.3,64.83180428134557
129,1021,616b00a811601579e9c2816c,1630737.017,809,0,0,1.0,0.9752781211372065,0.9874843554443055,0.0,0.0,0.0,0.0,0.0,0.0,2.5,85.16687268232386
130,1021,616b00a811601579e9c2816c,1630737.102,660,0,18,1.0,0.9984848484848485,0.9992418498862775,0.0,0.0,0.0,0.8571428571428571,0.3333333333333333,0.48,1.9,63.27433628318584
131,1021,616b00a811601579e9c2816c,1630737.135,657,0,34,1.0,0.984779299847793,0.9923312883435583,0.0,0.0,0.0,0.7647058823529411,0.7647058823529411,0.7647058823529412,2.6,43.12590448625181
